simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
SV3,1,2167,Complejo San Vicente 3,Complejo,IVws,31,0
SV4,1,2168,Complejo San Vicente 4,Complejo,IVws,39,0
SV5,1,2169,Complejo San Vicente 5,Complejo,IVws,53,0
SV6,1,2170,Complejo San Vicente 6,Complejo,VIws,26,0
SV7,1,2171,Complejo San Vicente 7,Complejo,IVws,42,0
SV8,1,2172,Asociacion San Vicente 8,Asociacion,IVws,46,0
Svd,1,2173,Complejo Saavedra,Complejo,IIIsc,67,0
Svd1,1,2174,Asociacion Saavedra 1,Asociacion,IIIsc,54,0
Sy1,1,2175,Asociacion Saboya 1,Asociacion,IIs,75,0
Sy2,1,2176,Asociacion Saboya 2,Asociacion,IIw,72,0
Sy3,1,2177,Consociacion Saboya 3,Consociacion,I1,83,0
Sy4,1,2178,Complejo Saboya 4,Complejo,IIIw,67,0
Sy5,1,2179,Asociacion Saboya 5,Asociacion,IIIws,52,0
Ta,1,2180,Consociacion Tandil,Consociacion,IIs,67,0
Ta1,1,2181,Complejo Tandil 1,Complejo,IIes,48,0
TA1,1,2182,Complejo Tres Arroyos 1,Complejo,NA,55,1
Ta10,1,2183,Consociacion Tandil 10,Consociacion,IIIe,51,0
TA10,1,2184,Asociacion Tres Arroyos 10,Asociacion,IIIes,53,0
Ta11,1,2185,Complejo Tandil 11,Complejo,IIs,56,0
TA11,1,2186,Complejo Tres Arroyos 11,Complejo,IVs,40,0
Ta12,1,2187,Consociacion Tandil 12,Consociacion,IIe,60,0
Ta13,1,2188,Consociacion Tandil 13,Consociacion,I-1,67,0
TA13,1,2189,Consociacion Tres Arroyos 13,Consociacion,IIIs,0,0
Ta14,1,2190,Asociacion Tandil 14,Asociacion,IVes,69,0
TA14,1,2191,Complejo Tres Arroyos 14,Complejo,IIIws,0,0
Ta15,1,2192,Asociacion Tandil 15,Asociacion,IIIws,63,0
Ta16,1,2193,Asociacion Tandil 16,Asociacion,IVws,57,0
TA16,1,2194,Complejo Tres Arroyos 16,Complejo,IIIs,0,0
Ta17,1,2195,Consociacion Tandil 17,Consociacion,IIs,64,0
TA17,1,2196,Complejo Tres Arroyos 17,Complejo,IVs,39,0
Ta18,1,2197,Asociacion Tandil 18,Asociacion,IIIes,59,0
TA18,1,2198,Asociacion Tres Arroyos 18,Asociacion,IIIs,46,0
Ta19,1,2199,Asociacion Tandil 19,Asociacion,IIIes,58,0
TA19,1,2200,Asociacion Tres Arroyos 19,Asociacion,IIIs,49,0
Ta2,1,2201,Complejo Tandil 2,Complejo,IIIws,57,0
Ta20,1,2202,Consociacion Tandil 20,Consociacion,IIIes,60,0
TA20,1,2203,Complejo Tres Arroyos 20,Complejo,IVes,31,0
Ta21,1,2204,Asociacion Tandil 21,Asociacion,IIIs,56,0
Ta22,1,2205,Consociacion Tandil 22,Consociacion,IIIes,55,0
TA22,1,2206,Complejo Tres Arroyos 22,Complejo,NA,0,0
Ta23,1,2207,Complejo Tandil 23,Complejo,IIIs,53,0
TA23,1,2208,Complejo Tres Arroyos 23,Complejo,NA,0,0
Ta24,1,2209,Asociacion Tandil 24,Asociacion,IIIes,52,0
TA24,1,2210,Consociacion Tres Arroyos 24,Consociacion,IIIs,50,0
Ta25,1,2211,Complejo Tandil 25,Complejo,IIIes,52,0
TA25,1,2212,Asociacion Tres Arroyos 25,Asociacion,NA,0,0
Ta26,1,2213,Complejo Tandil 26,Complejo,IIIs,50,0
TA26,1,2214,Complejo Tres Arroyos 26,Complejo,IIIs,61,0
Ta27,1,2215,Complejo Tandil 27,Complejo,IIIe,69,0
TA27,1,2216,Consociacion Tres Arroyos 27,Consociacion,IIIs,45,0
TA28,1,2217,Asociacion Tres Arroyos 28,Asociacion,NA,0,0
Ta29,1,2218,Complejo Tandil 29,Complejo,IIIws,51,0
TA29,1,2219,Asociacion Tres Arroyos 29,Asociacion,NA,0,0
Ta3,1,2220,Complejo Tandil 3,Complejo,IVws,47,0
Ta30,1,2221,Complejo Tandil 30,Complejo,IIIws,52,0
